52529589,,380058,21434923,MAIN,1445814,161636,,,,,,,,7168219,qualitative,,6089112,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529590,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168223,qualitative,,6089116,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited VEGF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529591,,380058,21434925,MAIN,30233,1416111,,,,Withdrawn,,,,7168223,qualitative,,6089116,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : VEGF- induced tumor angiogenesis; inhibition of,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited VEGF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529592,,380058,21434928,MAIN,8638800,280457,,,,Discontinued (Phase III),,,,7168218,qualitative,,6089111,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : HGF/SF- induced tumor angiogenesis; inhibition of,antiangiogenic agent,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529593,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168215,qualitative,,6089108,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : HGF/SF-induced tumor angiogenesis; inhibition of,antiangiogenic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited HGF/SF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529594,,380058,21434925,MAIN,30233,1416111,,,,Withdrawn,,,,7168215,qualitative,,6089108,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : HGF/SF-induced tumor angiogenesis; inhibition of,antiangiogenic agent,,,,,,,,,,,,,,,,,,,,title compound inhibited HGF/SF- induced tumor angiogenesis (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529595,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168222,qualitative,,6089115,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor cell death; induction of  ,,,,,,,,,,,,,,,,,,,,,title compound dose-dependently produced selective ablation of tumor cells in the presence of VEGF or HGF/SF (figures),,,,,,,,,,2018/11/16,,,2018/11/22,
52529596,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168214,qualitative,,6089107,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor cell death; induction of  ,,,,,,,,,,,,,,,,,,,,,title compound loaded in nanocores resulted in selective loss of yellow-melanoma cells (figure),,,,,,,,,,2018/11/16,,,2018/11/22,
52529597,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168214,qualitative,,6089107,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor cell death; induction of  ,,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529598,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168216,qualitative,,6089109,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor cell death; induction of  ,,,,,,,,,,,,,,,,,,,,,title compound produced tumor cell death of VEGF- or HGF/SF-treated co-cultures (figures),,,,,,,,,,2018/11/16,,,2018/11/22,
52529599,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168217,qualitative,,6089110,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor neovasculature; effect on  ,,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529600,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168220,qualitative,,6089113,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : tumor vessel density; effect on  ,,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529601,,380058,21434927,MAIN,5764632,1586978,intravenous administration,,,,,,,7168221,qualitative,,6089114,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : vascular network; loss of  ,,,,,,,,,,,,,,,,,,,,,"title compound in liposomes resulted in selective loss of the vascular network, demonstrating selectivity against endothelial cells (figure)",,,,,,,,,,2018/11/16,,,2018/11/22,
52529602,,380058,21434924,MAIN,1445814,161636,intravenous administration,,,,,,,7168221,qualitative,,6089114,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : vascular network; loss of  ,,,,,,,,,,,,,,,,,,,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529603,,380058,21434931,MAIN,18526689,,,,,,,,,7168224,qualitative,,6089123,,,In Vivo (Animal models),,,,anti-tumor,antineoplastic agent,,,,,,,,,,,,,,,,,,,,title compound decreased tumor volume; effect was synergistic (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529604,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168225,qualitative,,6089120,,,In Vivo (Animal models),,,,anti-tumor,antineoplastic agent,,,,,,,,,,,,,,,,,,,,effect of decreased tumor cell proliferation was additive (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529605,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168226,qualitative,,6089119,,,In Vivo (Animal models),,,,HIF-1α expression; stimulation of,,,,,,,,,,,,,,,,,,,,,liposomal title compound increased HIF-1α expression (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529606,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168227,qualitative,,6089121,,,In Vivo (Animal models),,,,VEGF expression; stimulation of,,,,,,,,,,,,,,,,,,,,,title compound increased VEGF expression (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529607,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168228,qualitative,,6089125,,,In Vivo (Animal models),,,,apoptosis of tumor cells; induction of,,,,,,,,,,,,,,,,,,,,,title compound increased apoptotic cell count in tumors (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529608,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168229,qualitative,,6089122,,,In Vivo (Animal models),,,,hypoxic cell number; effect on,,,,,,,,,,,,,,,,,,,,,title compound increased hypoxic cell number (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529609,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168230,qualitative,,6089118,,,In Vivo (Animal models),,,,tumor neovasculature; inhibition of,,,,,,,,,,,,,,,,,,,,,title compound reduced vasculature and vessel density in tumor; synergistic effect was observed; figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529610,,380058,21434932,MAIN,18526689,,intravenous administration,,,,,,,7168231,qualitative,,6089124,,,In Vivo (Animal models),,,,white blood cell count; decrease in,,,,,,,,,,,,,,,,,,,,,title compound decreased white blood cell count (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529611,,380058,21434931,MAIN,18526689,,,,,,,,,7168232,qualitative,,6089117,,Cell/tumor cell: proliferation/viability/growth,In Vitro (Efficacy),,,,cell death; induction of,Cytotoxic,,,,,,,,,,,,,,,,,,,,effect of cell death induction was additive (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529612,,380058,21434930,MAIN,14409908,,,,,,,,,7168233,qualitative,,6089126,,,In Vitro (Efficacy),,,,angiogenic,,,,,,,,,,,,,,,,,,,,,title compound increased tumor angiogenesis (figure),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529613,,380058,21434929,MAIN,11321684,,,,,,,,,7168233,qualitative,,6089126,,,In Vitro (Efficacy),,,,angiogenic,,,,,,,,,,,,,,,,,,,,,title compound increased tumor angiogenesis (figures),ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529614,,380058,21434931,MAIN,18526689,,,,,,,,,7168234,qualitative,,6089127,,,In Vitro (Efficacy),,,,metastasis; inhibition of,,,,,,,,,,,,,,,,,,,,,title compound significantly inhibited metastasis in lungs and liver; figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529615,,379178,21434933,MAIN,8739700,1844982,,,,,,,,7168235,qualitative,,6089129,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : endothelial cells (HUVEC) from umbilical vein of human,antiproliferative agent,,,,,,,,,,,,,,,,,,,,cell proliferation: ~90 (title compound); ~92 (control); figure is given,,,,,,,,,,2018/11/16,,,2018/11/22,
52529616,,379178,21434933,MAIN,8739700,1844982,,,,,,,,7168236,qualitative,,6089128,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cell proliferation; inhibition of,antiproliferative agent,1806762,HUVEC cell line,,,,human,,,,,,,,,,,human,,,cell proliferation: ~90 (title compound); ~92 (control); figure is given,,,,,,,,,,2018/11/16,,,2018/11/22,
52529617,,379178,21434936,MAIN,18526389,,,,,,,,,7168237,qualitative,,6089130,,Cell migration/Chemotaxis,In Vitro (Efficacy),,,,cell migration; effect on,,,,,,,,,,,,,,,,,,,,,migrated cells: ~0.05 (title compound); ~0.16 (control); figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529618,,379178,21434934,MAIN,11321684,,,,,,,,,7168237,qualitative,,6089130,,Cell migration/Chemotaxis,In Vitro (Efficacy),,,,cell migration; effect on,,,,,,,,,,,,,,,,,,,,,migrated cells: ~0.18 (50 ng/ml of title compound); ~0.16 (control); figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529619,,379178,21434935,MAIN,18526388,,,,,,,,,7168238,qualitative,,6089131,,Cell/tumor cell: proliferation/viability/growth,In Vitro (Efficacy),,,,cell proliferation; inhibition of,antiproliferative agent,,,,,,,,,,,,,,,,,,,,cell proliferation: ~86 (title compound); ~92 (control); figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529620,,379178,21434934,MAIN,11321684,,,,,,,,,7168239,qualitative,,6089132,,,In Vitro (Efficacy),,,,cell proliferation; increase of,,,,,,,,,,,,,,,,,,,,,cell proliferation: ~102 (50 ng/ml of title compound); ~92 (control); figure is given,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529621,,379178,21434936,MAIN,18526389,,,,,,,,,7168239,qualitative,,6089132,,,In Vitro (Efficacy),,,,cell proliferation; increase of,,,,,,,,,,,,,,,,,,,,,,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529622,,379158,21434939,MAIN,9297361,1904141,,,,Discontinued (Phase II),,,,7168240,qualitative,,6089133,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806764,,,,,human,,,,,,,,,,,human,,,,Not active,,,,1,"compound is ""Non Active""",,,,2018/11/16,,,2019/06/17,
52529623,,379158,21434940,MAIN,9297361,1904141,oral administration,,,Discontinued (Phase II),,,,7168241,qualitative,,6089134,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : antineoplastic,antineoplastic agent,,,,,,,,,,,,,,,,,,,,"treatment with the title compound at 100mg/kg showed efficacy in treating the tumor; no presence of tumor cells in the adbominal cavity and tumor mass in the inoculum site was observed, only 1 animal had the presence of cachexy (out of 15 animals)",,,,,,,,,,2018/11/16,,,2018/11/22,
52529624,,379158,21434941,MAIN,9297361,1904141,intraperitoneal administration,,,Discontinued (Phase II),,,,7168241,qualitative,,6089134,In vivo Measurement,In vivo Measurement,In Vivo (Animal models),,,,Effect : antineoplastic,antineoplastic agent,,,,,,,,,,,,,,,,,,,,"treatment with the title compound at 25mg/kg showed efficacy in treating the tumor; no presence of tumor cells in the adbominal cavity and tumor mass in the inoculum site was observed, only 1 animal had the presence of cachexy (out of 15 animals)",,,,,,,,,,2018/11/16,,,2018/11/22,
52529625,,379158,21434939,MAIN,9297361,1904141,,,,Discontinued (Phase II),,,,7168242,qualitative,,6089135,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : apoptotic,Apoptotic,1806763,Jurkat cell line,,,,,,,,,,,,,,,,,,treatment with the title compound at 0.1-10μM showed 3-99% cell mortality within 24-72hours as compared to the control with 3-13% cell mortality,,,,,,,,,,2018/11/16,,,2018/11/22,
52529626,,379158,21434939,MAIN,9297361,1904141,,,,Discontinued (Phase II),,,,7168243,qualitative,,6089136,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : apoptotic,Apoptotic,1806764,,,,,human,,,,,,,,,,,human,,,treatment with the title compound at 0.1-20μM showed 15.3-98.51% cell mortality within 24-72hours as compared to the control with 9.3-13.06% cell mortality,,,,,,,,,,2018/11/16,,,2018/11/22,
52529627,,379158,21434938,MAIN,4496620,1506471,,,,Discontinued (Phase II),,,,7168243,qualitative,,6089136,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : apoptotic,Apoptotic,1806764,,,,,human,,,,,,,,,,,human,,,treatment with the title compound at 5-20μM showed 10.1-14.1% cell mortality within 24-72hours as compared to the control with 9.3-13.06% cell mortality,,,,,,,,,,2018/11/16,,,2018/11/22,
52529628,,379158,21434937,MAIN,1445814,161636,,,,,,,,7168244,qualitative,,6089137,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : apoptotic,Apoptotic,1806764,,,,,human,,,,,,,,,,,human,,,treatment with the title compound at 0.25-5.0μg/ml showed 11.2-48.6% cell mortality at 3 days as compared to the control with 10.8% cell mortality,,,,,,,,,,2018/11/16,,,2018/11/22,
52529629,,379158,21434942,MAIN,18477884,,,,,,,,,7168245,qualitative,,6089138,,Apoptosis,In Vitro (Efficacy),,,,apoptotic,,,,,,,,,,,,,,,,,,,,,treatment with the title compound showed 93.2 cell mortality at 3 days as compared to the control with 10.8 cell mortality,ND,,,,,,,,,2018/11/16,,,2018/11/22,
52529630,,458622,21434950,MAIN,18708552,13,,,,,,,,7168250,LD50,,6089144,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,,~,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529631,,458622,21434950,MAIN,18708552,13,,,,,,,,7168251,LD50,,6089145,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806772,A-431 cell line,,,,human,,,,,,,,,,,human,,,,~,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529632,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168247,qualitative,,6089140,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806768,HeLa cell line,,,,,,,,,,,,,,,,,,"addition of the title compound to cells resulted in cell death; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",,,,,,,,,,2018/11/16,,,2018/11/22,
52529633,,458622,21434950,MAIN,18708552,13,,,,,,,,7168252,qualitative,,6089143,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806770,U-937 cell line,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.2e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",,,,,,,,,,2018/11/16,,,2018/11/22,
52529634,,458622,21434949,MAIN,18708551,12,,,,,,,,7168252,qualitative,,6089143,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806770,U-937 cell line,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.3e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",,,,,,,,,,2018/11/16,,,2018/11/22,
52529635,,458622,21434951,MAIN,18708553,14,,,,,,,,7168252,qualitative,,6089143,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806770,U-937 cell line,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 100 μmol/l ~ 8e4 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",,,,,,,,,,2018/11/16,,,2018/11/22,
52529636,,458622,21434943,MAIN,11571517,2316131,,,,,,,,7168248,qualitative,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l < 1e4 - ~ 4e5 live cells/ml were remained (~ 1.16e6 live cells in medium alone, ~ 1.18e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 31",,,,,,,,,,2018/11/16,,,2018/11/22,
52529637,,458622,21434950,MAIN,18708552,13,,,,,,,,7168248,qualitative,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e5 - ~ 6.8e5 live cells/ml were remained (~ 1.18e6 live cells in medium alone, ~ 1.05e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 37",,,,,,,,,,2018/11/16,,,2018/11/22,
52529638,,458622,21434948,MAIN,18528002,16,,,,,,,,7168248,qualitative,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 5.8e5 - ~ 9e5 live cells/ml were remained (~ 1.18e6 live cells in medium alone, ~ 1.05e6 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 37",,,,,,,,,,2018/11/16,,,2018/11/22,
52529639,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168248,qualitative,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,"after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",,,,,,,,,,2018/11/16,,,2018/11/22,
52529640,,458622,21434944,MAIN,18030294,18,,,,,,,,7168249,LC50,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,,~,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529641,,458622,21434945,MAIN,18030295,21,,,,,,,,7168249,LC50,,6089141,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,,~,12.5,,µM,4.9,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529642,,458622,21434949,MAIN,18708551,12,,,,,,,,7168253,LD50,,6089142,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,~,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529643,,458622,21434951,MAIN,18708553,14,,,,,,,,7168253,LD50,,6089142,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,~,100,,µM,4,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529644,,458622,21434950,MAIN,18708552,13,,,,,,,,7168253,LD50,,6089142,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,,~,15,,µM,4.82,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529645,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168246,qualitative,,6089139,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806773,,,,,human,,,,,,,,,,,human,,,"after administration of the title compound at high concentrations reduction of cell number to ~ 87% was observed; ; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within",,,,,,,,,,2018/11/16,,,2018/11/22,
52529646,,458622,21434943,MAIN,11571517,2316131,,,,,,,,7168254,qualitative,,6089146,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806773,,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l < 1e4 - ~ 1e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
